file_path,date,timestamp,camera_number,rat_number,movie_name,plane_crossing,reach_start,reach_start_second,end_reach_second,end_of_reach,wall_x,exclude,pellet_x,pellet_y,shelf_width_px,experimental_group,DLC_data_output,DLC_data_path,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat813right/2025-07-03_12_54_56_camcommerb1/flipped_video/2025-07-03_12_54_56_camcommerb1_wbgam_h264_flipped.mp4,7/3/25,12_54_56,1,813,2025-07-03_12_54_56_camcommerb1_wbgam_h264_flipped.mp4,774,714,774,714,819,700,no,580,344,143.1,control,2025-07-03_12_54_56_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_12_54_56_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat813right/2025-07-03_12_53_47_camcommerb1/flipped_video/2025-07-03_12_53_47_camcommerb1_wbgam_h264_flipped.mp4,7/3/25,12_53_47,1,813,2025-07-03_12_53_47_camcommerb1_wbgam_h264_flipped.mp4,591,525,591,525,624,702,no,582,342,143,control,2025-07-03_12_53_47_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_12_53_47_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat813right/2025-07-03_12_59_46_camcommerb1/flipped_video/2025-07-03_12_59_46_camcommerb1_wbgam_h264_flipped.mp4,7/3/25,12_59_46,1,813,2025-07-03_12_59_46_camcommerb1_wbgam_h264_flipped.mp4,698,656,654,725,723,696,no,580,342,143.1,control,2025-07-03_12_59_46_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_12_59_46_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat812left/2025-07-03_11_42_28_camcommerb1/2025-07-03_11_42_28_camcommerb1_wbgam_h264.mp4,7/3/25,11_42_28,1,812,2025-07-03_11_42_28_camcommerb1_wbgam_h264.mp4,582,508,498,632,621,1024,no,892,376,153,control,2025-07-03_11_42_28_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_11_42_28_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat812left/2025-07-03_11_53_57_camcommerb1/2025-07-03_11_53_57_camcommerb1_wbgam_h264.mp4,7/3/25,11_53_57,1,812,2025-07-03_11_53_57_camcommerb1_wbgam_h264.mp4,302,N/A,283,344,341,1026,no,894,374,152,control,2025-07-03_11_53_57_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_11_53_57_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat812left/2025-07-03_11_55_19_camcommerb1/2025-07-03_11_55_19_camcommerb1_wbgam_h264.mp4,7/3/25,11_55_19,1,812,2025-07-03_11_55_19_camcommerb1_wbgam_h264.mp4,446,341,446,341,480,1022,no,896,378,155,control,2025-07-03_11_55_19_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_11_55_19_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat812left/2025-07-03_11_40_40_camcommerb1/2025-07-03_11_40_40_camcommerb1_wbgam_h264.mp4,7/3/25,11_40_40,1,812,2025-07-03_11_40_40_camcommerb1_wbgam_h264.mp4,631,565,353,420,694,1022,no,896,372,153,control,2025-07-03_11_40_40_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_11_40_40_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,lots of extra reaches
/zfsr01/storage/gavin_lrn/reaching/cam1/rat812left/2025-07-03_11_51_15_camcommerb1/2025-07-03_11_51_15_camcommerb1_wbgam_h264.mp4,7/3/25,11_51_15,1,812,2025-07-03_11_51_15_camcommerb1_wbgam_h264.mp4,626,602,604,670,656,1026,no,892,374,149,control,2025-07-03_11_51_15_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_11_51_15_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,lots of extra reaches
/zfsr01/storage/gavin_lrn/reaching/cam1/rat814left/2025-07-03_13_57_10_camcommerb1/2025-07-03_13_57_10_camcommerb1_wbgam_h264.mp4,7/3/25,13_57_10,1,814,2025-07-03_13_57_10_camcommerb1_wbgam_h264.mp4,624,215,624,215,668,1017,no,886,376,153,control,2025-07-03_13_57_10_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_13_57_10_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat814left/2025-07-03_13_58_04_camcommerb1/2025-07-03_13_58_04_camcommerb1_wbgam_h264.mp4,7/3/25,13_58_04,1,814,2025-07-03_13_58_04_camcommerb1_wbgam_h264.mp4,692,379,692,379,735,1021,no,930,374,149,control,2025-07-03_13_58_04_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_13_58_04_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat814left/2025-07-03_13_59_27_camcommerb1/2025-07-03_13_59_27_camcommerb1_wbgam_h264.mp4,7/3/25,13_59_27,1,814,2025-07-03_13_59_27_camcommerb1_wbgam_h264.mp4,744,674,686,788,776,1020,no,888,380,152,control,2025-07-03_13_59_27_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_13_59_27_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat814left/2025-07-03_13_53_39_camcommerb1/2025-07-03_13_53_39_camcommerb1_wbgam_h264.mp4,7/3/25,13_53_39,1,814,2025-07-03_13_53_39_camcommerb1_wbgam_h264.mp4,632,427,632,427,660,1018,no,890,376,149,control,2025-07-03_13_53_39_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_13_53_39_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat814left/2025-07-03_14_00_40_camcommerb1/2025-07-03_14_00_40_camcommerb1_wbgam_h264.mp4,7/3/25,14_00_40,1,814,2025-07-03_14_00_40_camcommerb1_wbgam_h264.mp4,526,267,526,267,561,1018,no,888,376,148,control,2025-07-03_14_00_40_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_14_00_40_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
