scorer,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000
bodyparts,ASIS,ASIS,ASIS,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Toe,Toe,Toe
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1108.7952880859375,342.521484375,0.8982037901878357,966.1618041992188,422.52239990234375,0.9149599671363831,1061.4696044921875,558.388671875,0.9660717248916626,909.6834106445312,536.8983764648438,0.9755046367645264,966.1185302734375,594.899169921875,0.8945963382720947
1,1104.7099609375,342.1885986328125,0.8843063116073608,963.3636474609375,422.58050537109375,0.9179273843765259,1059.0460205078125,558.6846313476562,0.9706805944442749,906.0935668945312,536.0552368164062,0.9703788757324219,961.806640625,593.8883056640625,0.9227370023727417
2,1103.2357177734375,342.3758850097656,0.8805039525032043,960.373779296875,420.623046875,0.9159018993377686,1056.3931884765625,558.1343994140625,0.9648422002792358,904.3253173828125,536.0338134765625,0.9474066495895386,957.236328125,594.537109375,0.920732319355011
3,1100.303955078125,340.3166198730469,0.9194982051849365,958.9954833984375,420.298583984375,0.9171741008758545,1052.7657470703125,557.3218383789062,0.9627976417541504,900.7186279296875,532.6259765625,0.9354186058044434,954.579833984375,594.2722778320312,0.8683324456214905
4,1097.865234375,340.16796875,0.9108792543411255,957.4159545898438,418.9207458496094,0.914680004119873,1050.250732421875,556.9725952148438,0.9782849550247192,896.1326904296875,532.0419921875,0.9649161100387573,950.2833862304688,593.8754272460938,0.8780730962753296
5,1096.8304443359375,339.3800964355469,0.8928220868110657,955.0692138671875,419.0705871582031,0.8503687381744385,1048.2415771484375,556.2827758789062,0.9710984826087952,894.4977416992188,531.9266967773438,0.9759309887886047,947.6519165039062,593.8015747070312,0.9213547110557556
6,1095.3883056640625,339.2781982421875,0.9094518423080444,953.4122924804688,418.7267150878906,0.8292154669761658,1045.17578125,556.0296630859375,0.9753847122192383,892.7390747070312,531.3572387695312,0.9691834449768066,942.7716674804688,593.1130981445312,0.9116272926330566
7,1093.7113037109375,337.6282043457031,0.8659393191337585,949.0294189453125,418.1592102050781,0.8617269992828369,1042.3673095703125,556.2401733398438,0.9808523654937744,890.3653564453125,530.7847290039062,0.95372474193573,941.1885986328125,593.9508666992188,0.9282958507537842
8,1090.787841796875,335.7493896484375,0.8485428690910339,945.0144653320312,415.3846435546875,0.8908654451370239,1040.297119140625,555.2633666992188,0.967336893081665,888.0966186523438,530.677001953125,0.9254080057144165,939.0199584960938,594.3502807617188,0.8824062347412109
9,1089.5633544921875,335.5033264160156,0.844914436340332,943.6538696289062,414.8624572753906,0.8812652826309204,1037.0411376953125,555.4182739257812,0.9657866954803467,883.9287719726562,526.1012573242188,0.9222633838653564,933.7075805664062,592.7841796875,0.8907723426818848
10,1088.0770263671875,335.443603515625,0.8343130350112915,939.869384765625,413.458251953125,0.9107563495635986,1033.62890625,555.0389404296875,0.9820588231086731,879.341552734375,525.1016235351562,0.9522718191146851,930.7656860351562,593.1480102539062,0.9296085834503174
11,1084.3597412109375,333.370849609375,0.8011010885238647,939.3759155273438,413.2384033203125,0.9240554571151733,1032.392333984375,554.5613403320312,0.9770702123641968,877.5744018554688,524.4699096679688,0.9639567136764526,926.899169921875,593.1546630859375,0.9187806844711304
12,1083.5379638671875,333.39068603515625,0.8302489519119263,937.956298828125,412.7919921875,0.8826049566268921,1030.2005615234375,553.6795043945312,0.9728014469146729,876.0499267578125,524.5537719726562,0.9592045545578003,924.2413330078125,593.497314453125,0.9207230806350708
13,1081.1512451171875,332.4148254394531,0.8686431646347046,936.4650268554688,412.0302429199219,0.9291055798530579,1027.8316650390625,552.9144287109375,0.9787544012069702,874.0829467773438,525.0880737304688,0.9494683742523193,922.4036865234375,592.7056884765625,0.8876985311508179
14,1079.1273193359375,331.08685302734375,0.7693490982055664,932.4801635742188,412.00811767578125,0.9405442476272583,1026.724609375,552.2138061523438,0.9748350381851196,872.457275390625,524.6113891601562,0.931749165058136,917.0696411132812,592.0172119140625,0.9009222388267517
15,1078.18310546875,331.01165771484375,0.8256376385688782,928.21875,411.5682373046875,0.9076941609382629,1024.0299072265625,552.1287841796875,0.9515887498855591,868.5408935546875,522.4110717773438,0.9214485883712769,914.74267578125,592.839599609375,0.9354497194290161
16,1074.7073974609375,329.5954284667969,0.7303136587142944,927.273193359375,411.517333984375,0.9151714444160461,1020.1139526367188,551.9183349609375,0.9614706039428711,866.2206420898438,522.124755859375,0.9370247721672058,909.067626953125,592.1773681640625,0.9150866270065308
17,1073.8841552734375,330.1600341796875,0.8423148393630981,925.8213500976562,410.7899475097656,0.9353610277175903,1017.1090698242188,550.898681640625,0.9700988531112671,863.0933227539062,521.059326171875,0.9617382884025574,906.819580078125,592.3425903320312,0.9113573431968689
18,1073.044921875,329.4955749511719,0.815884530544281,923.8158569335938,409.9469909667969,0.9291836023330688,1013.8116455078125,550.0739135742188,0.9700267314910889,861.831787109375,520.5492553710938,0.9711382389068604,902.0765991210938,591.4873657226562,0.8772397041320801
19,1071.059814453125,328.42010498046875,0.8417456746101379,922.1636962890625,408.86187744140625,0.9440239667892456,1013.1990356445312,549.27978515625,0.9755052328109741,858.7692260742188,520.889892578125,0.972866952419281,899.5973510742188,591.4667358398438,0.9196419715881348
20,1066.49951171875,325.76751708984375,0.8366772532463074,919.7869262695312,408.6775817871094,0.9256982207298279,1010.8859252929688,548.4788818359375,0.9773002862930298,855.5347900390625,520.0774536132812,0.9528640508651733,898.2217407226562,591.7681274414062,0.9152365922927856
21,1063.9942626953125,324.81097412109375,0.8875240087509155,917.3806762695312,407.9305114746094,0.9325257539749146,1008.6508178710938,547.8639526367188,0.9617758393287659,852.2765502929688,519.8419799804688,0.9441419243812561,893.310302734375,590.1542358398438,0.8818265199661255
22,1062.937744140625,324.01507568359375,0.8673042058944702,915.6976318359375,408.0303649902344,0.9497047662734985,1005.9989013671875,546.2799682617188,0.9774235486984253,848.4567260742188,518.283935546875,0.9440803527832031,888.1162109375,589.87451171875,0.888815701007843
23,1061.5196533203125,324.16351318359375,0.8869441747665405,913.74755859375,408.2386169433594,0.9411752820014954,1002.6527099609375,545.9776611328125,0.9771991968154907,846.1113891601562,517.2674560546875,0.967780590057373,886.1592407226562,590.2201538085938,0.9042032957077026
24,1060.118408203125,323.0371398925781,0.8758201599121094,909.1394653320312,407.9393005371094,0.9357823133468628,1000.1965942382812,545.9248657226562,0.9576829075813293,843.7275390625,516.9664916992188,0.966607928276062,883.109375,589.4426879882812,0.9166296720504761
