scorer,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000
bodyparts,ASIS,ASIS,ASIS,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Toe,Toe,Toe
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,421.3406677246094,295.8118591308594,0.24374955892562866,352.4142150878906,402.4205627441406,0.5163811445236206,398.7493591308594,469.1683349609375,0.9721233248710632,342.06634521484375,526.9921875,0.9889799356460571,357.9602355957031,586.6934204101562,0.9787878394126892
1,419.9503479003906,296.57269287109375,0.2711600065231323,351.0003356933594,401.9887390136719,0.32986927032470703,397.01348876953125,470.12249755859375,0.9802185893058777,338.66064453125,525.1939697265625,0.9924569129943848,352.475830078125,587.4299926757812,0.9705498218536377
2,419.1453857421875,297.0176696777344,0.31332215666770935,350.6998291015625,401.88836669921875,0.4442104995250702,395.09771728515625,471.23077392578125,0.9746543169021606,333.4332580566406,524.5112915039062,0.9892004728317261,347.46893310546875,587.0784301757812,0.9701159000396729
3,413.6097717285156,302.47271728515625,0.320953369140625,349.46173095703125,403.5634765625,0.368064284324646,393.6880187988281,472.3978576660156,0.965950608253479,330.066162109375,523.9310913085938,0.9903483390808105,343.21142578125,586.4173583984375,0.9720172882080078
4,412.32659912109375,303.0450744628906,0.2501891851425171,348.9974365234375,402.1900939941406,0.508294403553009,391.24884033203125,473.13153076171875,0.9802838563919067,328.8367919921875,522.3504028320312,0.9903504848480225,339.3233642578125,586.424560546875,0.9770469665527344
5,412.6651611328125,301.9034118652344,0.3162258267402649,348.5231628417969,400.0884704589844,0.32339802384376526,389.5358581542969,474.5521240234375,0.9906549453735352,324.03338623046875,521.7099609375,0.9955060482025146,333.9453430175781,585.9544677734375,0.9682656526565552
6,417.5129089355469,295.66412353515625,0.34939953684806824,348.0762023925781,400.07635498046875,0.43170270323753357,387.6357727050781,475.97686767578125,0.9917219281196594,319.4151916503906,521.0331420898438,0.994361162185669,327.9560241699219,585.5009765625,0.9716249704360962
7,417.0260314941406,295.4588623046875,0.38849809765815735,346.5681457519531,400.4924621582031,0.3620533347129822,386.2749938964844,477.37469482421875,0.9890349507331848,314.5191955566406,519.9100952148438,0.9946258068084717,324.4058837890625,585.9461669921875,0.9695427417755127
8,416.8669738769531,295.2581787109375,0.27476611733436584,351.0069580078125,387.655517578125,0.3571329712867737,384.87725830078125,478.4007568359375,0.9870650768280029,313.51605224609375,519.1582641601562,0.9898492693901062,319.0036926269531,585.5803833007812,0.9580361843109131
9,416.4877624511719,294.5022277832031,0.28724992275238037,348.4522705078125,392.24456787109375,0.2891593873500824,383.71014404296875,478.8285827636719,0.9783209562301636,307.9505615234375,518.8419189453125,0.993688702583313,313.2008361816406,585.401611328125,0.9686802625656128
10,416.802978515625,293.44378662109375,0.22412198781967163,342.4048156738281,402.3364562988281,0.17900410294532776,382.0465393066406,479.0068664550781,0.9777726531028748,302.5787048339844,519.1390380859375,0.9955142736434937,309.0859680175781,584.0546264648438,0.9692258238792419
11,378.27069091796875,336.27203369140625,0.21491312980651855,342.0350036621094,402.7585754394531,0.35244685411453247,381.8398742675781,480.3069152832031,0.9812620878219604,299.0892028808594,518.9342651367188,0.9966257810592651,304.3121643066406,585.656005859375,0.9523727893829346
12,415.16888427734375,292.6805419921875,0.22787871956825256,333.5476989746094,416.04052734375,0.2718935012817383,379.9818420410156,481.2998046875,0.9878594279289246,295.5163879394531,517.7242431640625,0.9917525053024292,300.6777648925781,583.9602661132812,0.9661400318145752
13,415.10260009765625,291.0252685546875,0.19668766856193542,332.4766845703125,416.44677734375,0.27203118801116943,378.6199645996094,481.91534423828125,0.9873812198638916,294.2089538574219,514.5065307617188,0.994125485420227,295.302978515625,583.6430053710938,0.9735679626464844
14,363.2563781738281,350.18609619140625,0.19411778450012207,331.17425537109375,418.0677185058594,0.2335863709449768,376.9774475097656,482.4482727050781,0.9851632118225098,289.35595703125,514.7803955078125,0.9923923015594482,291.3602600097656,583.4405517578125,0.9763329029083252
15,362.808349609375,350.247314453125,0.1864396035671234,337.98358154296875,402.4268798828125,0.21094316244125366,375.48834228515625,483.5709533691406,0.9851657152175903,285.3037109375,512.5691528320312,0.9961185455322266,287.1016845703125,583.3069458007812,0.9607057571411133
16,364.2425842285156,347.7248840332031,0.17063793540000916,342.6056823730469,391.2861633300781,0.21538767218589783,374.5564880371094,484.6512145996094,0.9891101717948914,280.9997253417969,510.17535400390625,0.9862477779388428,280.66326904296875,583.51708984375,0.9594360589981079
17,400.84039306640625,299.6819763183594,0.22458988428115845,343.65411376953125,387.2987976074219,0.29720380902290344,373.6119689941406,485.44122314453125,0.9901058077812195,277.3441467285156,507.2596435546875,0.9927029609680176,276.1163635253906,583.4428100585938,0.971889317035675
18,403.7513732910156,295.36993408203125,0.2763313055038452,340.999267578125,392.91680908203125,0.19246706366539001,372.8180236816406,486.07696533203125,0.9917001724243164,273.8728942871094,505.3260192871094,0.9933239221572876,271.8450622558594,583.3302001953125,0.9502863883972168
19,402.16033935546875,295.8031311035156,0.22311073541641235,342.897216796875,387.4012145996094,0.25407344102859497,372.11187744140625,486.0549011230469,0.9908124208450317,271.4840393066406,506.39520263671875,0.9920072555541992,265.7980651855469,583.6582641601562,0.9511603713035583
20,388.38916015625,310.5237731933594,0.26962029933929443,343.2802429199219,384.6753845214844,0.23269346356391907,371.05499267578125,486.16290283203125,0.9915410280227661,267.47198486328125,505.4427185058594,0.9935611486434937,262.4864501953125,583.5216064453125,0.9610615968704224
21,387.5127258300781,309.71038818359375,0.23997914791107178,342.67279052734375,384.8489990234375,0.4691597819328308,370.6689147949219,485.6529846191406,0.9920378923416138,265.1473388671875,504.55841064453125,0.9914712905883789,259.4300231933594,581.8930053710938,0.9664407968521118
22,388.5356750488281,303.3523864746094,0.2850562632083893,341.6660461425781,386.624755859375,0.43427973985671997,370.5014953613281,485.281982421875,0.9922299385070801,264.4747314453125,503.600341796875,0.9905979633331299,256.2178955078125,579.5924682617188,0.961593747138977
23,388.66656494140625,301.41302490234375,0.40787646174430847,341.3532409667969,386.1165771484375,0.5340670943260193,370.3624572753906,484.6010437011719,0.9908826351165771,260.75408935546875,502.8286437988281,0.9923967719078064,252.11680603027344,580.4342041015625,0.9633448123931885
24,387.5253601074219,301.214111328125,0.20845839381217957,341.31585693359375,384.6467590332031,0.4402461349964142,370.31536865234375,484.3829040527344,0.9923317432403564,257.79736328125,500.2587890625,0.9908738136291504,246.854736328125,579.4724731445312,0.958189070224762
