scorer,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000
bodyparts,ASIS,ASIS,ASIS,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Toe,Toe,Toe
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,393.8602600097656,276.9489440917969,0.9672149419784546,274.6131591796875,360.3360595703125,0.9121944904327393,423.8944091796875,517.6544189453125,0.9686505198478699,255.07595825195312,532.4436645507812,0.9920065402984619,304.5995178222656,607.5775756835938,0.9163265228271484
1,396.5309143066406,277.8437805175781,0.9739470481872559,276.4593811035156,362.7054443359375,0.9090311527252197,431.3833923339844,519.4899291992188,0.9646079540252686,265.15362548828125,538.7262573242188,0.9936889410018921,311.0832824707031,613.2929077148438,0.9277341365814209
2,399.4085998535156,279.5517578125,0.9566285610198975,278.6993408203125,365.2309265136719,0.9259178638458252,435.2842102050781,521.5769653320312,0.9803094267845154,270.7322082519531,539.6317749023438,0.988853931427002,313.9824523925781,613.7032470703125,0.9093595743179321
3,400.6341857910156,280.5487060546875,0.9584856629371643,282.4341125488281,367.48675537109375,0.9182695150375366,437.2843017578125,523.4601440429688,0.9753458499908447,271.8812561035156,536.5631713867188,0.9889130592346191,311.19183349609375,611.5234985351562,0.9344104528427124
4,402.1266784667969,281.16748046875,0.9654595851898193,284.1925354003906,368.08099365234375,0.9571430087089539,436.0185241699219,525.163330078125,0.9815523624420166,269.61834716796875,533.2205810546875,0.9919801950454712,306.9049072265625,609.53173828125,0.9350900650024414
5,402.9492492675781,281.3406677246094,0.964629590511322,285.22509765625,368.51092529296875,0.9423412084579468,434.8135986328125,526.6820678710938,0.9767211675643921,265.6412353515625,532.0223999023438,0.9877321720123291,300.8284912109375,610.4100341796875,0.9167225360870361
6,404.4191589355469,280.9084777832031,0.9511865973472595,285.6253356933594,368.15667724609375,0.940657913684845,433.2821044921875,526.9645385742188,0.9647526741027832,261.704833984375,529.8663940429688,0.9836359620094299,294.1676940917969,608.9984130859375,0.9288380742073059
7,405.2231750488281,280.8481750488281,0.962226152420044,285.9812316894531,364.7621765136719,0.92838454246521,429.9522399902344,526.5228881835938,0.9683817625045776,256.4575500488281,528.7267456054688,0.9815417528152466,288.76324462890625,608.9110107421875,0.929594874382019
8,407.7359924316406,277.04144287109375,0.9606466293334961,286.3931884765625,361.42645263671875,0.9158045053482056,428.869140625,527.8059692382812,0.9768571853637695,252.11199951171875,526.09716796875,0.9840728044509888,280.05914306640625,606.8374633789062,0.9154330492019653
9,408.0065612792969,275.15570068359375,0.9404051303863525,288.27337646484375,357.5570068359375,0.9101546406745911,423.9364929199219,525.869873046875,0.9710968732833862,247.39602661132812,524.166259765625,0.9854346513748169,275.75909423828125,607.3427734375,0.940139889717102
10,408.052734375,273.15289306640625,0.9382282495498657,288.3655700683594,353.3777160644531,0.9219084978103638,421.53448486328125,524.8497924804688,0.9806356430053711,244.80667114257812,522.2796020507812,0.9907626509666443,268.8709411621094,605.4248657226562,0.922471284866333
11,407.52020263671875,270.50970458984375,0.9218250513076782,285.9324645996094,349.1767272949219,0.887614905834198,418.6120300292969,521.6083984375,0.9814198613166809,241.2930908203125,521.6793212890625,0.9850677251815796,264.6774597167969,605.5994262695312,0.927048921585083
12,408.3101806640625,268.33941650390625,0.9212887287139893,289.193115234375,343.2171630859375,0.8912961483001709,416.1605224609375,519.27001953125,0.9643975496292114,238.65228271484375,520.7122192382812,0.984757661819458,259.70263671875,604.138427734375,0.9601746797561646
13,420.21087646484375,260.413818359375,0.9297884106636047,289.349365234375,338.3530578613281,0.9232568144798279,412.4433288574219,515.0020751953125,0.9777354001998901,234.3389892578125,518.7597045898438,0.9828602075576782,253.6705322265625,602.6561889648438,0.9534012079238892
14,420.70892333984375,255.87908935546875,0.9072816967964172,287.1795959472656,334.7225036621094,0.9159786701202393,411.6573791503906,511.55438232421875,0.9733099937438965,232.48147583007812,515.2549438476562,0.9681618213653564,248.854248046875,603.0829467773438,0.9483416080474854
15,421.3121337890625,251.49476623535156,0.9583996534347534,290.76702880859375,326.9501647949219,0.889746904373169,408.10198974609375,507.705322265625,0.9769079685211182,229.1355743408203,512.1122436523438,0.9716804027557373,245.55209350585938,601.7913818359375,0.9675134420394897
16,423.6974792480469,247.29689025878906,0.9356787204742432,290.2353820800781,323.0105285644531,0.8955577611923218,406.9729919433594,504.13690185546875,0.9761936664581299,227.4346160888672,510.5237121582031,0.9720050096511841,239.32435607910156,599.4953002929688,0.9325006008148193
17,423.67010498046875,243.7451171875,0.927091658115387,292.2981262207031,316.0997619628906,0.8555890917778015,404.4615783691406,498.929443359375,0.9625781774520874,223.55697631835938,508.89111328125,0.9818004369735718,233.79014587402344,597.818603515625,0.9271978735923767
18,420.3521423339844,241.70761108398438,0.9272623062133789,296.50390625,308.7878112792969,0.8775731921195984,402.3651123046875,494.426513671875,0.9735442996025085,220.57305908203125,506.7084655761719,0.9866563081741333,226.71142578125,597.079833984375,0.9611169099807739
19,422.16888427734375,238.10733032226562,0.8588331341743469,294.44964599609375,304.1304931640625,0.8777270317077637,401.05706787109375,492.01849365234375,0.978255033493042,215.22059631347656,504.5141906738281,0.9841545820236206,221.6639404296875,596.2901000976562,0.9702280163764954
20,426.7419738769531,233.87124633789062,0.9171243906021118,294.8550109863281,299.868408203125,0.9115537405014038,400.1380920410156,488.335693359375,0.9677399396896362,211.3323974609375,503.79315185546875,0.9835025072097778,218.31996154785156,596.2521362304688,0.9400507807731628
21,425.8581848144531,230.94667053222656,0.8689540028572083,298.46954345703125,293.7408142089844,0.877333402633667,398.5829772949219,484.67144775390625,0.9718518853187561,209.63050842285156,502.6981506347656,0.9780065417289734,211.95103454589844,596.12841796875,0.9711196422576904
22,431.91925048828125,227.0782928466797,0.9093750715255737,298.3144836425781,290.8078308105469,0.8845855593681335,396.9784851074219,481.909423828125,0.9781818389892578,207.6591796875,501.5056457519531,0.9857956171035767,205.34304809570312,594.228271484375,0.974272608757019
23,428.00164794921875,225.5234375,0.9263951778411865,297.99896240234375,288.2953186035156,0.8787424564361572,395.5755920410156,480.0647888183594,0.9757516384124756,203.34877014160156,498.8875427246094,0.9802229404449463,201.791259765625,596.5176391601562,0.9677380323410034
24,426.14111328125,224.02268981933594,0.8281521797180176,297.54791259765625,285.9025573730469,0.8913744688034058,394.3454284667969,477.1167297363281,0.9763697981834412,199.37652587890625,497.68121337890625,0.9635940790176392,197.1647491455078,592.9141845703125,0.9538503885269165
25,433.60919189453125,221.34169006347656,0.7933769226074219,297.89080810546875,284.20220947265625,0.9227067232131958,393.74163818359375,475.54486083984375,0.9839916229248047,196.56723022460938,496.33587646484375,0.9724939465522766,191.5332794189453,593.9183349609375,0.9683997631072998
