scorer,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000,DLC_resnet50_cb4_networkMar13shuffle1_200000
bodyparts,ASIS,ASIS,ASIS,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Toe,Toe,Toe
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1012.2291870117188,305.4848937988281,0.9796934127807617,964.8997192382812,371.4036865234375,0.967339277267456,1036.0927734375,501.1072692871094,0.9671024084091187,944.381103515625,548.2025756835938,0.9782218933105469,996.9532470703125,603.729736328125,0.9259024858474731
1,1010.873779296875,305.17041015625,0.9760253429412842,963.5115966796875,370.28826904296875,0.9649208188056946,1034.6624755859375,501.1756286621094,0.9682612419128418,940.379638671875,546.8076171875,0.9874647259712219,994.0714721679688,604.3823852539062,0.9154419302940369
2,1010.5791625976562,303.92791748046875,0.9725329875946045,961.7097778320312,370.1256103515625,0.947502076625824,1031.087646484375,501.4217529296875,0.9629267454147339,937.2312622070312,545.8392944335938,0.9710572361946106,992.1331176757812,604.0441284179688,0.8749336004257202
3,1011.235595703125,302.33331298828125,0.9664539098739624,959.2554931640625,369.4406433105469,0.9492672681808472,1029.6221923828125,501.4702453613281,0.9679667949676514,934.5169677734375,545.9253540039062,0.9648768305778503,987.8771362304688,604.344970703125,0.8709782361984253
4,1009.0206298828125,302.7128601074219,0.9514120817184448,957.9745483398438,369.8793640136719,0.9567753672599792,1028.1971435546875,501.4588317871094,0.9710855484008789,931.1122436523438,545.3564453125,0.9691280126571655,982.268798828125,604.5093383789062,0.8914307355880737
5,1009.4525146484375,300.51336669921875,0.972960352897644,957.1175537109375,369.4083557128906,0.9631295204162598,1026.81201171875,501.432373046875,0.9738227128982544,927.33447265625,544.9505615234375,0.974181056022644,978.3104248046875,604.71337890625,0.904656171798706
6,1008.2091064453125,300.40618896484375,0.9723635315895081,956.15234375,368.89617919921875,0.9596964120864868,1024.702880859375,500.8929138183594,0.9679988622665405,923.7069702148438,544.0191040039062,0.9838360548019409,976.7078857421875,604.8261108398438,0.836135745048523
7,1007.2009887695312,300.2400207519531,0.9631619453430176,955.3175048828125,367.29876708984375,0.9639865159988403,1022.6001586914062,500.7187805175781,0.9673879742622375,920.1265869140625,543.1083984375,0.9814882278442383,972.330078125,604.9646606445312,0.7840710878372192
8,1006.9993286132812,300.82354736328125,0.9534052610397339,954.8587646484375,367.5745544433594,0.9611114263534546,1020.1290283203125,501.0561828613281,0.9693823456764221,917.760009765625,541.075439453125,0.9867808818817139,965.62744140625,604.7047119140625,0.9006811380386353
9,1006.6632080078125,299.87518310546875,0.9331644177436829,954.3759155273438,365.6638488769531,0.9478751420974731,1018.0135498046875,501.1490478515625,0.968291163444519,915.239013671875,539.3615112304688,0.9878788590431213,963.923828125,604.8095092773438,0.8746156692504883
10,1005.3574829101562,299.3756103515625,0.9468476176261902,953.687744140625,365.2019958496094,0.9407423138618469,1014.9452514648438,501.545654296875,0.9627912044525146,912.8054809570312,539.3048095703125,0.9810739755630493,960.410400390625,604.4512329101562,0.8751739263534546
11,1005.2793579101562,298.14630126953125,0.9197351932525635,953.3615112304688,364.4979248046875,0.951069176197052,1013.4967651367188,501.0523376464844,0.9681901931762695,907.3099975585938,540.2630615234375,0.9894624948501587,956.2999877929688,604.4346923828125,0.8339619040489197
12,1004.544677734375,296.8589172363281,0.9544104933738708,953.3182983398438,363.6315612792969,0.9451339244842529,1012.0509643554688,500.55462646484375,0.9706512689590454,904.2536010742188,539.4341430664062,0.988139271736145,949.3219604492188,601.115234375,0.8907628059387207
13,1004.0205688476562,296.5904235839844,0.9532566070556641,952.5582275390625,363.111083984375,0.9284423589706421,1010.8351440429688,500.1165466308594,0.9719793796539307,901.3367919921875,538.04736328125,0.9870626330375671,948.1255493164062,604.1098022460938,0.9141509532928467
14,1003.5159301757812,295.7510681152344,0.968557596206665,951.8006591796875,362.1507263183594,0.9283276200294495,1009.0552368164062,499.4716491699219,0.97018963098526,898.6098022460938,536.840576171875,0.9798001646995544,941.3156127929688,602.6974487304688,0.894269585609436
15,1003.025146484375,295.6059265136719,0.9483160972595215,951.272705078125,361.9620361328125,0.9405168890953064,1007.331787109375,497.5496520996094,0.9666050672531128,895.7747802734375,538.0712890625,0.9836711883544922,938.6571655273438,604.0820922851562,0.8690750598907471
16,1001.3423461914062,295.3081970214844,0.9744496941566467,950.3291015625,361.2386169433594,0.9374100565910339,1005.5406494140625,497.00677490234375,0.9710936546325684,892.1641845703125,536.8844604492188,0.9843875169754028,932.6068725585938,600.914794921875,0.9122205972671509
17,1000.0111694335938,294.65081787109375,0.9745122194290161,949.7357788085938,360.56353759765625,0.938252329826355,1003.5752563476562,496.6914367675781,0.9762926697731018,887.4915161132812,536.3087158203125,0.9763504266738892,930.6911010742188,602.8619995117188,0.9403061866760254
18,1000.2879638671875,292.5318908691406,0.9737292528152466,950.30029296875,358.2589111328125,0.9452396631240845,999.516845703125,495.6459655761719,0.9735119342803955,884.3050537109375,534.7980346679688,0.9663909673690796,927.3057861328125,602.7010498046875,0.8991824984550476
19,1000.057861328125,291.8363037109375,0.9705917835235596,949.8059692382812,357.84625244140625,0.9468458890914917,998.285888671875,495.4841613769531,0.9777005910873413,882.0377197265625,534.6599731445312,0.9691238403320312,920.3385009765625,602.8959350585938,0.9035825729370117
20,999.8991088867188,292.21917724609375,0.9489362239837646,949.0242309570312,356.83074951171875,0.9590727090835571,996.64697265625,495.6474609375,0.9773606061935425,877.8523559570312,533.2747192382812,0.9734712839126587,916.5440063476562,600.1364135742188,0.9293578267097473
21,999.4108276367188,292.0039367675781,0.9679349660873413,948.560791015625,356.155029296875,0.9519544839859009,995.3614501953125,495.3114013671875,0.9789457321166992,874.576904296875,531.58642578125,0.9608825445175171,913.2824096679688,600.6367797851562,0.9061318039894104
22,997.9649047851562,293.1866149902344,0.9744692444801331,947.6953125,355.5999755859375,0.9631859660148621,994.3595581054688,495.50909423828125,0.9772537350654602,871.218017578125,531.3325805664062,0.9718552827835083,909.2095336914062,600.4473266601562,0.8936148881912231
23,997.1546630859375,292.9270935058594,0.9840683937072754,946.8767700195312,354.71630859375,0.953614354133606,992.5802001953125,495.5533447265625,0.9707918167114258,869.1996459960938,530.30908203125,0.9657039642333984,903.1630249023438,599.4318237304688,0.9066340923309326
24,996.5839233398438,292.67401123046875,0.9862256646156311,945.9607543945312,354.2899169921875,0.9399876594543457,990.19580078125,494.9147644042969,0.96629399061203,864.3776245117188,530.3292846679688,0.9655115604400635,899.7080078125,599.3617553710938,0.940837025642395
