scorer,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000,DLC_resnet50_thomas_networkOct2shuffle1_200000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1984.3128662109375,198.99058532714844,0.041378915309906006,2016.502197265625,416.0359802246094,0.06282645463943481,1477.3099365234375,552.2939453125,0.017170995473861694
1,704.7003173828125,2.0969152450561523,0.032457977533340454,2016.604248046875,416.5933837890625,0.09804052114486694,979.624755859375,70.08512115478516,0.014791697263717651
2,704.712890625,2.1565661430358887,0.03435760736465454,2023.5941162109375,424.567626953125,0.07612070441246033,431.8065490722656,324.32489013671875,0.011422425508499146
3,704.5274658203125,2.112673759460449,0.033027440309524536,2024.013427734375,425.07720947265625,0.08740851283073425,979.5645141601562,70.16179656982422,0.012084275484085083
4,704.7036743164062,2.1943507194519043,0.03483244776725769,2024.4051513671875,417.83843994140625,0.0683184266090393,979.5377197265625,69.98539733886719,0.01218363642692566
5,704.5995483398438,2.1216037273406982,0.03381544351577759,2024.2000732421875,417.9605712890625,0.10027655959129333,979.633544921875,69.8943099975586,0.01311686635017395
6,704.5538940429688,2.006042957305908,0.030786365270614624,2023.957275390625,424.7883605957031,0.11792042851448059,979.8143920898438,70.24684143066406,0.00756525993347168
7,704.1156616210938,2.076719284057617,0.031029582023620605,2024.1549072265625,417.4200744628906,0.05973321199417114,979.726318359375,69.93524932861328,0.020644396543502808
8,704.18408203125,2.103419542312622,0.029223144054412842,2024.1998291015625,417.864013671875,0.05954176187515259,979.7308349609375,70.01516723632812,0.021076291799545288
9,704.1845092773438,2.035640001296997,0.03379097580909729,2024.2403564453125,417.6181945800781,0.09164392948150635,1480.32666015625,538.3386840820312,0.02069762349128723
10,704.8440551757812,2.129164457321167,0.03409186005592346,2023.897705078125,424.4432678222656,0.08438053727149963,1481.6444091796875,537.6221313476562,0.14648279547691345
11,704.2942504882812,2.028987407684326,0.028709083795547485,2023.737548828125,424.650390625,0.09493350982666016,1481.88916015625,538.3707885742188,0.19971951842308044
12,704.3751831054688,2.0307044982910156,0.03171491622924805,2023.3626708984375,425.44940185546875,0.04069119691848755,1482.7264404296875,538.2706909179688,0.24286726117134094
13,704.7228393554688,2.055941581726074,0.0351620614528656,2023.869873046875,417.6072692871094,0.061918169260025024,1482.3299560546875,537.66748046875,0.25439560413360596
14,704.681640625,2.054795265197754,0.03436446189880371,2024.4515380859375,417.73590087890625,0.03868281841278076,1480.3507080078125,536.6583862304688,0.03175744414329529
15,704.5325927734375,2.032691717147827,0.034576594829559326,2024.18359375,417.7274169921875,0.03058016300201416,1481.760986328125,535.4308471679688,0.01794186234474182
16,704.2662963867188,2.0375170707702637,0.03078189492225647,2024.333740234375,417.55596923828125,0.017544418573379517,1481.4237060546875,536.0267944335938,0.019507378339767456
17,704.3599853515625,2.052659034729004,0.031487464904785156,2023.9354248046875,417.7458801269531,0.020469486713409424,1480.404296875,535.5272216796875,0.0179557204246521
18,704.1918334960938,2.1456689834594727,0.02933827042579651,2024.4747314453125,417.277099609375,0.03671824932098389,425.386474609375,324.0909423828125,0.018022537231445312
19,704.1112060546875,2.095824956893921,0.027220845222473145,2024.0948486328125,417.2494812011719,0.04000985622406006,1479.444580078125,539.0608520507812,0.009678244590759277
20,704.2208251953125,2.0822839736938477,0.02985885739326477,2024.1201171875,417.6528015136719,0.05301123857498169,1480.153076171875,536.36328125,0.01584532856941223
21,704.3275756835938,2.121176242828369,0.02923762798309326,2023.5526123046875,425.21722412109375,0.033756256103515625,1479.7877197265625,536.1639404296875,0.01826685667037964
22,703.9434814453125,2.227863073348999,0.029989153146743774,2024.0450439453125,417.6080322265625,0.031640440225601196,431.72283935546875,324.5834655761719,0.00982561707496643
23,703.6055908203125,2.185318946838379,0.028039634227752686,2024.1278076171875,417.4662170410156,0.06873294711112976,1479.3216552734375,536.2129516601562,0.018738925457000732
24,703.9993286132812,2.1511106491088867,0.02994251251220703,2023.8480224609375,417.55474853515625,0.09695565700531006,1479.749755859375,539.3624267578125,0.028620481491088867
25,704.07421875,2.1504323482513428,0.03735816478729248,2024.5316162109375,417.55731201171875,0.10389137268066406,1480.2119140625,539.929931640625,0.049166202545166016
26,704.0076293945312,2.097622871398926,0.028337180614471436,2023.8577880859375,424.6943359375,0.14569348096847534,979.7250366210938,70.33751678466797,0.013393253087997437
27,703.9964599609375,2.0701236724853516,0.02741864323616028,2023.318603515625,424.9775695800781,0.17835143208503723,976.9335327148438,72.75301361083984,0.018772423267364502
28,703.8792724609375,2.070326089859009,0.02849280834197998,2023.79296875,417.16021728515625,0.20519965887069702,1480.257568359375,540.5638427734375,0.05143827199935913
29,704.4186401367188,2.105414390563965,0.032868266105651855,2024.035400390625,417.3797302246094,0.3150382339954376,1480.955078125,540.9632568359375,0.07969442009925842
30,704.519775390625,2.0795235633850098,0.03143942356109619,2024.5240478515625,416.95001220703125,0.25129634141921997,1480.5181884765625,540.2398681640625,0.017606288194656372
31,703.921630859375,2.045241594314575,0.024250179529190063,2024.2557373046875,417.10345458984375,0.2236557900905609,1479.9627685546875,539.7777709960938,0.012849032878875732
32,703.87060546875,2.021515369415283,0.02659812569618225,2024.3221435546875,417.90386962890625,0.3629423975944519,1989.6536865234375,397.38214111328125,0.012476176023483276
33,1985.6536865234375,198.0369110107422,0.05068501830101013,2024.337646484375,418.6887512207031,0.46653422713279724,1989.4281005859375,398.0789794921875,0.01385393738746643
34,1984.9354248046875,198.55941772460938,0.04176813364028931,2023.4541015625,418.2135925292969,0.5172510147094727,2008.17236328125,394.64715576171875,0.013356834650039673
35,1983.172607421875,198.50762939453125,0.06731504201889038,2023.2332763671875,418.2674255371094,0.5429198145866394,2008.239013671875,395.0812072753906,0.017160087823867798
