,Rat,Timepoint_Name,Speed_Group,Belt_Speed,Stride,Step_Length,Step_Duration,Stance_Duration,Step_Height,Mean_Asis_Toe_Height,Variation_Asis_Toe_Height,Mean_Asis_Toe_Height_Stance,Variation_Asis_Toe_Height_Stance,Mean_Asis_Toe_Height_Swing,Variation_Asis_Toe_Height_Swing,Mean_Ankle,Variation_Ankle,Mean_Ankle_Stance,Variation_Ankle_Stance,Mean_Ankle_Swing,Variation_Ankle_Swing,Mean_Knee,Variation_Knee,Mean_Knee_Stance,Variation_Knee_Stance,Mean_Knee_Swing,Variation_Knee_Swing,Mean_Hip,Variation_Hip,Mean_Hip_Stance,Variation_Hip_Stance,Mean_Hip_Swing,Variation_Hip_Swing,Max_Asis_Height,Max_Asis_Height_Stance,Max_Asis_Height_Swing,Max_Hip_Height,Max_Hip_Height_Stance,Max_Hip_Height_Swing,Max_Knee_Height,Max_Knee_Height_Stance,Max_Knee_Height_Swing,Max_Ankle_Height,Max_Ankle_Height_Stance,Max_Ankle_Height_Swing,Min_Asis_Height,Min_Asis_Height_Stance,Min_Asis_Height_Swing,Min_Hip_Height,Min_Hip_Height_Stance,Min_Hip_Height_Swing,Min_Knee_Height,Min_Knee_Height_Stance,Min_Knee_Height_Swing,Min_Ankle_Height,Min_Ankle_Height_Stance,Min_Ankle_Height_Swing,Mean_Asis_Height,Mean_Asis_Height_Stance,Mean_Asis_Height_Swing,Mean_Hip_Height,Mean_Hip_Height_Stance,Mean_Hip_Height_Swing,Mean_Knee_Height,Mean_Knee_Height_Stance,Mean_Knee_Height_Swing,Mean_Ankle_Height,Mean_Ankle_Height_Stance,Mean_Ankle_Height_Swing,Mean_Hip_Toe_Height,Mean_Hip_Toe_Height_Stance,Mean_Hip_Toe_Height_Swing,Mean_Knee_Toe_Height,Mean_Knee_Toe_Height_Stance,Mean_Knee_Toe_Height_Swing,Mean_Ankle_Toe_Height,Mean_Ankle_Toe_Height_Stance,Mean_Ankle_Toe_Height_Swing,variation_mean_asis_height,variation_mean_asis_height_stance,variation_mean_asis_height_swing,Unnamed: 0_x,Unnamed: 0_y,exptype
0,142,baseline,speed0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,dreadds
1,142,baseline,speed12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,dreadds
2,142,baseline,speed16,0.16,4.363636363636363,91.5969386818197,0.45745454545454545,0.30290909090909096,25.125690594280773,54.57184263538076,7.34344058828139,55.09368848539304,4.042854753037969,52.56916375540932,5.22584648631559,65.51275336877045,19.612434624443164,66.99277580243688,15.491811126799671,63.56355275732319,16.807128889079966,88.55287049793695,17.429322596735837,87.72583264335468,12.143468223434542,87.39717518236829,17.89232273101816,113.70513912435695,11.333680966592054,115.3311684725852,9.426234457757603,112.51568257517593,8.761270122096093,65.42286902992133,64.22691197176556,64.34293291078943,55.4162121383209,54.168233230613325,54.00652279275317,29.939473666173864,27.318398795513847,28.89589188765525,29.410149050795983,23.72069496725752,28.190403079756596,57.918387081917174,59.02618927367464,59.73381161304096,46.33243297802563,48.2715302695396,47.9552772413376,20.109093126291125,20.59876778894988,22.744348239818247,7.4691746377919594,8.417430282786352,,61.12365939325829,60.9844342483105,62.17737149379224,49.9499587353225,50.2397935430916,51.14543413709984,23.869221247766372,22.68469469442596,26.58505260603921,16.505022301212787,14.681702374370094,20.471527421380735,43.57664333134847,44.67275615703161,41.19194832592114,19.345033933929095,20.094617599869057,18.194095373100172,12.203525356926605,12.25324787907881,12.597921722894482,3.343594438217654,2.3414479619515465,1.8143883180034792,0.0,0,dreadds
3,142,baseline,speed20,0.2,3.85,69.77851414943665,0.4798,0.31779999999999997,14.633526905105573,58.29085570580678,4.245682527170279,60.62370708449477,1.9226017033795615,53.8326112402916,3.4783139185383427,64.12841625609711,11.656739970985958,64.79053782119465,9.675007396870358,62.957242996576646,14.279375314126264,87.35442794600614,13.90983389568937,91.07037670550844,11.214890448112138,80.3905380370463,15.315498876677443,117.40476760934366,7.713549477695153,117.57234168565682,7.346289320715893,116.90340840453428,8.299012064835724,65.91453635268556,65.122397612022,65.36901752043268,55.30733878583802,54.067826554936076,54.84702184539319,28.76938474651492,25.481970976498776,28.743356690073078,31.376261502485715,24.857077059716577,31.376261502485715,59.85498776084705,60.293296278631715,62.50865077920888,47.42070848760943,47.898442223935284,51.01594752687252,19.3598966603204,19.3598966603204,23.60902618489521,5.0859717022354385,5.62669814598078,7.078893925565268,62.98273941701838,62.34702993984579,64.19593326353701,51.574760530298946,50.63143918472704,53.40732354570963,23.2619621098586,21.351345867933368,26.94845980824241,16.428902461280735,13.566577260824948,21.85325909371355,46.88287681908735,48.90811632937602,43.044001522464214,18.570078398647006,19.628023012582343,16.58513778499699,11.738427197832749,11.843433729165714,11.494916998350467,1.8771335244713476,1.5404930039552336,0.9058879044691193,0.0,0,dreadds
4,142,baseline,speed24,0.24,4.3478260869565215,90.65907053401213,0.4436521739130435,0.2892173913043478,15.411673345800548,59.005764913861896,4.5826135542999245,60.45685535425986,2.322427835341657,56.646425970428,3.5047941473585507,65.25989724831196,14.450120589360154,64.56684074899874,12.98565836899558,66.81227291916055,15.118894964930712,89.23019613065829,15.720306853490355,91.6832274856755,13.146372191665792,85.42999041075315,17.851700727609792,116.81410215504627,8.157248735034553,117.83333937138487,7.6875780614111875,114.96576481300332,8.153498332981604,68.4346421830445,67.013735882729,67.98369538613106,57.26303709654581,55.348619200026725,56.37703762774547,30.297315102985433,27.82297914933253,30.071135611255475,30.77117994819638,26.07545733603965,29.97232938421828,60.711178221974095,61.0689013564792,63.96460815046681,47.61521639176509,48.281063671707045,51.783901682871424,19.31670300786583,19.31670300786583,24.928467792098676,8.314523672057067,8.806212170570289,7.539513721218795,64.29161282840602,63.39067249904188,66.26836660928448,52.07376392552788,50.91109009639407,54.61694192394334,24.168567123322106,22.074962307779614,28.24907662595729,15.317592229040532,12.65096688000041,20.249426940890608,46.78791601098376,47.97727295161205,44.99500128508685,19.71136831512504,20.504406596020175,18.627135987100804,12.114877831201738,13.143673797123652,10.628550752513457,2.4122500225255994,1.8751907870545284,1.3069481401200775,0.0,0,dreadds
5,142,baseline,speed28,0.28,5.25,85.15536480021727,0.3751428571428571,0.22157142857142856,,57.66437119203441,,59.6172276073412,3.2235099730154824,54.2473791715122,5.204039312678909,68.63600424454407,18.560113667512695,69.45617661076287,15.501163528670263,68.784997411278,19.659656018914344,89.72023374352435,13.749474863872095,93.67629194938709,10.641149542294063,84.3660464642192,14.955820996058653,114.67563223053271,8.802443098290025,115.46912617771427,8.292779977875878,113.8290751273639,8.096556892166076,67.68383716189825,66.75004279394484,66.45258578973599,58.07575703810074,56.8414161812644,56.51669718735608,29.428053480740008,27.096482814704835,28.857201215194472,33.16524291376182,26.136085464909627,31.677058993913022,62.457053718553404,62.54361044107337,64.09328288181545,50.91877794827151,50.98560350663396,53.24246204119,20.43226801129355,20.435216395470714,24.43120157821746,7.19868021089161,,,64.5529800475532,64.00960284523852,65.38010936368498,53.8587879643159,53.01317141141222,55.09424850586163,24.41445475067731,22.672759985950705,26.964673172580614,18.981066539373042,16.472900673729637,23.00436781612547,47.351345823763246,49.117116915585754,44.328918609376295,19.69719425056195,20.999890104235824,18.023649931843625,12.844952370953052,13.122817531397304,12.651676605148301,1.5764552815621784,1.3124616779419642,0.797100723886228,0.0,0,dreadds
6,142,baseline,speed32,0.32,5.533333333333333,92.15517947824524,0.35746666666666665,0.21106666666666665,18.919224948008903,60.40316961757518,5.624111846805184,62.92294042534152,2.044817817085004,57.061929724116325,4.233645599266658,72.07789009436436,17.472471265296132,72.42194614649506,14.645224640934048,72.06214982237739,19.574327808630596,92.2200478452002,14.140794997599707,95.98636042711124,10.641049554461842,86.91244730258805,16.018317672986065,115.44180436773739,9.302349873030757,115.9032311585975,9.354731960819295,114.75242070460335,8.573985568026906,69.41235281033786,68.74336065508122,69.02454740018207,58.356962622786895,57.55039587265025,57.81378262385986,30.91033248280336,29.003410766956197,30.51249923418455,32.91968521151453,26.411051569385755,32.05844686727888,63.8024337668005,64.30378699041022,66.04102239723349,51.890709783925224,52.60318334444546,54.4147654461618,20.92098432180102,21.00808332900761,26.18106349013267,6.257405067757038,,8.065413899660006,66.614581682641,65.92777451842811,67.6591931736751,55.14447765620477,54.3617095460528,56.309983780846146,25.716004425551642,23.814265959716003,28.525087366514928,18.260613351554696,15.293990067992409,22.424344652268587,49.19900441304512,51.64974885627329,45.93131768263664,20.912386374926694,22.318693148671535,19.13135931073672,12.41567100075045,12.77648925838342,11.979025520516862,1.7644507378239243,1.4127588830073707,1.0117992559586617,0.0,0,dreadds
7,142,baseline,speed4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,dreadds
8,142,baseline,speed8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,dreadds
9,142,week2,speed0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,dreadds
