scorer,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000
bodyparts,scapula,scapula,scapula,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1380.1234130859375,323.6628723144531,0.9980444312095642,1304.478271484375,428.523193359375,0.9982876777648926,1302.5643310546875,630.9644775390625,0.9985824823379517,1123.464599609375,622.7825927734375,0.9994436502456665
1,1378.939453125,325.8840026855469,0.9979737997055054,1304.6524658203125,427.70318603515625,0.9987558722496033,1302.9451904296875,632.0274658203125,0.9983498454093933,1123.3499755859375,623.0494384765625,0.9993932247161865
2,1378.528564453125,326.3450012207031,0.9975447654724121,1302.0650634765625,428.17059326171875,0.999218761920929,1303.2574462890625,632.0548706054688,0.9977513551712036,1125.5615234375,623.111083984375,0.9994031190872192
3,1378.0157470703125,326.133544921875,0.997437596321106,1303.5606689453125,429.3165283203125,0.9990795254707336,1305.2418212890625,631.5473022460938,0.9983924031257629,1126.28515625,623.2545166015625,0.9993147253990173
4,1377.1954345703125,324.92547607421875,0.9981301426887512,1303.0242919921875,429.16943359375,0.9988210201263428,1305.8077392578125,631.0301513671875,0.9983172416687012,1127.2122802734375,624.5400390625,0.999487042427063
5,1376.56884765625,326.0267639160156,0.9973329305648804,1303.281005859375,429.4296569824219,0.9988329410552979,1306.301025390625,630.9951782226562,0.9985845685005188,1127.35986328125,625.6605224609375,0.9996628761291504
6,1376.2171630859375,325.1728515625,0.9972560405731201,1303.11767578125,430.1298522949219,0.9987325668334961,1305.9246826171875,631.8217163085938,0.9980281591415405,1127.7056884765625,625.4996948242188,0.999629020690918
7,1376.1595458984375,326.6724548339844,0.996666431427002,1303.9212646484375,429.38348388671875,0.9988579154014587,1305.9892578125,631.4950561523438,0.9983687400817871,1128.2996826171875,624.9635009765625,0.999483048915863
