video_path,totalframes,totalsec,timestamp,time_gen,framenumber,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_12_17_38,1000,40,00:19,19.00,475.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_12_15_01,1000,40,00:30,30.00,750.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_12_12_51,1000,40,00:22,22.00,550.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_12_10_17,1000,40,00:27,27.00,675.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_11_12_00_29,1000,40,00:31,31.00,775.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_11_59_33,1000,40,00:30,30.00,750.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_11_58_34,1000,40,00:29,29.00,725.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_11_54_44,1000,40,00:26,26.00,650.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_11_52_41,1000,40,00:17,17.00,425.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_11_44_16,1000,40,00:28,28.00,700.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_11_38_57,1000,40,00:25,25.00,625.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_11_36_46,1000,40,00:29,29.00,725.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_11_35_41,1000,40,00:28,28.00,700.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_11_34_44,1000,40,00:23,23.00,575.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_12_26_16,1000,40,00:30,30.00,750.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_12_24_24,1000,40,00:29,29.00,725.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_12_23_0,1000,40,00:28,28.00,700.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/092923/cam2/postDTA/Rat4/2023-11-10_12_21_51,1000,40,00:28,28.00,700.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat4/2024-02-22_15_58_41,1000,40,00:27,27.00,675.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat4/2024-02-22_15_57_16,1000,40,00:30,30.00,750.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat4/2024-02-22_15_54_46,1000,40,00:28,28.00,700.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat4/2024-02-22_15_53_27,1000,40,00:23,23.00,575.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat4/2024-02-22_15_52_03,1000,40,00:23,23.00,575.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat5/2024-02-22_16_14_33,1000,40,00:23,23.00,575.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat5/2024-02-22_16_11_26,1000,40,00:26,26.00,650.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat5/2024-02-22_16_09_46,1000,40,00:28,28.00,700.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat5/2024-02-22_16_03_47,1000,40,00:27,27.00,675.00,,,,,
